Year,District Code,District Name,NSPF School Code,School Name,School Type,Total Index Score,Star Rating,Title I Status,% Proficient ELA,% Proficient Math,% Proficient Science,95% Participation Met Mathematics,95% Participation Met ELA,Participation Warning,Participation Penalty,Continuing Participation Penalty,% Meeting AGP ELA,% Meeting AGP Math,Perc_WIDA_AGP,% Meeting AGP EL,NAC 389.445 Credit Requirements (8th Grade),9th Grade Credit Sufficiency,CCR Participation,CCR Completion,Advanced Diploma,4-Year Graduation Rate,5-Year Graduation Rate,Chronic Absenteeism,CSI,Yrs In Designation As CSI,TSI,Yrs In Designation As TSI,ATSI,Yrs In Designation As ATSI
2024,18,"State Public Charter School Authority ",86404.2,Nevada Virtual MS,SPCSA,34,2,YES,31.1,11.3,32.5,YES,YES,NO,NO,NO,31.1,12.3,20.0,20.0,94.0,N/A,N/A,N/A,N/A,N/A,N/A,<5,NO,N/A,YES,N/A,NO,N/A
2024,18,"State Public Charter School Authority ",86404.3,Nevada Virtual HS,SPCSA,59.5,3,YES,42.1,11.2,24.4,YES,YES,NO,NO,NO,N/A,N/A,11.9,11.9,N/A,91.7,60.1,24.1,35.7,87.3,87.5,6.5,NO,N/A,NO,N/A,NO,N/A
2024,18,"State Public Charter School Authority ",87310.1,CASLV Centennial ES,SPCSA,84,5,NO,76.8,62.1,36.2,YES,YES,NO,NO,NO,65.4,56.9,46.6,46.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.6,NO,N/A,NO,N/A,NO,N/A
2024,18,"State Public Charter School Authority ",87310.2,CASLV Centennial MS,SPCSA,88.3,5,NO,64.5,55.5,60.9,YES,YES,NO,NO,NO,59.6,54.3,-,-,>95,N/A,N/A,N/A,N/A,N/A,N/A,5.2,NO,N/A,NO,N/A,NO,N/A
2024,18,"State Public Charter School Authority ",87311.1,CASLV Nellis AFB ES,SPCSA,40,2,NO,52.2,41.2,13.9,YES,YES,NO,NO,NO,48.1,28.6,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11.5,NO,N/A,NO,N/A,NO,N/A
2024,18,"State Public Charter School Authority ",87311.2,CASLV Nellis AFB MS,SPCSA,91.6,5,NO,56.2,36.9,41.5,YES,YES,NO,NO,NO,58.0,40.9,-,-,93.7,N/A,N/A,N/A,N/A,N/A,N/A,7.8,NO,N/A,NO,N/A,NO,N/A
2024,18,"State Public Charter School Authority ",87312.2,CASLV Sandy Ridge MS,SPCSA,68,3,NO,67.0,54.7,71.2,YES,YES,NO,NO,NO,67.7,54.3,10.0,10.0,>95,N/A,N/A,N/A,N/A,N/A,N/A,<5,NO,N/A,NO,N/A,NO,N/A
2024,18,"State Public Charter School Authority ",87312.3,CASLV Sandy Ridge HS,SPCSA,93.5,5,NO,83.0,60.2,41.8,YES,YES,NO,NO,NO,N/A,N/A,14.2,14.2,N/A,99.4,88.0,68.8,82.2,>95,>95,9.9,NO,N/A,NO,N/A,NO,N/A
2024,18,"State Public Charter School Authority ",87313.1,CASLV Tamarus ES,SPCSA,75,4,NO,79.5,66.6,N/A,YES,YES,NO,NO,NO,73.1,47.3,73.8,73.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.8,NO,N/A,NO,N/A,NO,N/A
2024,18,"State Public Charter School Authority ",87314.1,CASLV Windmill ES,SPCSA,65.2,3,NO,73.1,64.9,30.9,YES,YES,NO,NO,NO,57.7,56.2,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,<5,NO,N/A,NO,N/A,NO,N/A
2024,18,"State Public Charter School Authority ",87314.2,CASLV Windmill MS,SPCSA,97.7,5,NO,79.8,71.3,N/A,YES,YES,NO,NO,NO,74.9,68.8,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,<5,NO,N/A,NO,N/A,NO,N/A
2024,18,"State Public Charter School Authority ",87315.1,CASLV Eastgate ES,SPCSA,79.5,4,NO,68.9,61.6,24.0,YES,YES,NO,NO,NO,66.4,50.3,66.6,66.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14.7,NO,N/A,NO,N/A,NO,N/A
2024,18,"State Public Charter School Authority ",87316.1,CASLV Cadence ES,SPCSA,54.5,3,YES,55.4,44.3,19.2,YES,YES,NO,NO,NO,52.7,37.0,51.8,51.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17.3,NO,N/A,NO,N/A,NO,N/A
2024,18,"State Public Charter School Authority ",87316.2,CASLV Cadence MS,SPCSA,70.5,4,YES,59.3,38.7,59.2,YES,YES,NO,NO,NO,59.4,38.1,21.0,21.0,>95,N/A,N/A,N/A,N/A,N/A,N/A,16.2,NO,N/A,NO,N/A,NO,N/A
2024,18,"State Public Charter School Authority ",87316.3,CASLV Cadence HS,SPCSA,50,Not Rated,YES,N/A,N/A,N/A,N/A,N/A,NO,NO,NO,N/A,N/A,-,-,N/A,93.5,N/A,N/A,N/A,N/A,N/A,20.5,NO,N/A,NO,N/A,NO,N/A
2024,18,"State Public Charter School Authority ",88101.1,Eagle NV ES,SPCSA,8,1,YES,7.0,<5,<5,YES,YES,YES,NO,NO,12.5,6.2,14.2,14.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,48.0,YES,1,NO,N/A,NO,N/A
2024,18,"State Public Charter School Authority ",89409.3,Beacon ACAD HS,SPCSA,3.1,1,YES,<5,<5,16.6,NO,NO,YES,YES,NO,N/A,N/A,<5,<5,N/A,-,33.8,<4.5,<5,15.2,36.9,46.5,YES,6,NO,N/A,NO,N/A
2024,18,"State Public Charter School Authority ",95301.3,Southern NV Trades HS,SPCSA,40,Not Rated,YES,N/A,N/A,N/A,N/A,N/A,NO,NO,NO,N/A,N/A,-,-,N/A,93.7,N/A,N/A,N/A,N/A,N/A,61.7,NO,N/A,NO,N/A,NO,N/A
