SCHOOL_ID,SCHOOL_YEAR,SCHOOL_NAME,TOTAL_ENROLLMENT,CHRONIC_ABSENTEEISM_RATE,ABSENTEEISM_TIER,ELA_PCT_PROFICIENT,ELA_SUPPRESSED,MATH_PCT_PROFICIENT,MATH_SUPPRESSED,DBT_UPDATED_AT
2069,2022,Billy & Rosemary Vassiliadis Elementary School,1093,13,Moderate,80,FALSE,82,FALSE,2026-06-23 16:30:42.783 -0700
2069,2023,Billy & Rosemary Vassiliadis Elementary School,1083,9,Low,79,FALSE,81,FALSE,2026-06-23 16:30:42.783 -0700
2069,2024,Billy & Rosemary Vassiliadis Elementary School,1117,10,Moderate,81,FALSE,80,FALSE,2026-06-23 16:30:42.783 -0700
2070,2020,Shelley Berkley Elementary School,726,16,Moderate,50,FALSE,34,FALSE,2026-06-23 16:30:42.783 -0700
2070,2021,Shelley Berkley Elementary School,743,38,Critical,46,FALSE,35,FALSE,2026-06-23 16:30:42.783 -0700
2070,2022,Shelley Berkley Elementary School,725,31,Critical,53,FALSE,49,FALSE,2026-06-23 16:30:42.783 -0700
2070,2023,Shelley Berkley Elementary School,725,25,High,59,FALSE,52,FALSE,2026-06-23 16:30:42.783 -0700
2070,2024,Shelley Berkley Elementary School,719,21,High,63,FALSE,55,FALSE,2026-06-23 16:30:42.783 -0700
2071,2020,Josh Stevens Elementary School,891,18,Moderate,56,FALSE,38,FALSE,2026-06-23 16:30:42.783 -0700
2071,2021,Josh Stevens Elementary School,856,44,Critical,58,FALSE,47,FALSE,2026-06-23 16:30:42.783 -0700
2071,2022,Josh Stevens Elementary School,798,42,Critical,53,FALSE,43,FALSE,2026-06-23 16:30:42.783 -0700
2071,2023,Josh Stevens Elementary School,789,35,Critical,49,FALSE,46,FALSE,2026-06-23 16:30:42.783 -0700
2071,2024,Josh Stevens Elementary School,819,31,Critical,63,FALSE,51,FALSE,2026-06-23 16:30:42.783 -0700
2072,2020,Dr Beverly S Mathis Elementary School,897,16,Moderate,54,FALSE,41,FALSE,2026-06-23 16:30:42.783 -0700
