SCHOOL_ID,SCHOOL_NAME,REGION,ELA_FIRST_YEAR,ELA_LATEST_YEAR,ELA_FIRST_PCT,ELA_LATEST_PCT,ELA_OVERALL_CHANGE,MATH_FIRST_YEAR,MATH_LATEST_YEAR,MATH_FIRST_PCT,MATH_LATEST_PCT,MATH_OVERALL_CHANGE,COMPOSITE_OVERALL_CHANGE,ELA_YEARS_IMPROVED,ELA_YEARS_DECLINED,ELA_YEARS_MEASURED,MATH_YEARS_IMPROVED,MATH_YEARS_DECLINED,MATH_YEARS_MEASURED,COMPOSITE_YEARS_IMPROVED,COMPOSITE_YEARS_DECLINED,ELA_PEAK_YOY,MATH_PEAK_YOY,COMPOSITE_PEAK_YOY,CONSISTENCY_SCORE,IMPROVEMENT_SCORE,ELA_OVERALL_RANK,MATH_OVERALL_RANK,COMPOSITE_OVERALL_RANK,CONSISTENCY_RANK,ELA_PEAK_RANK,MATH_PEAK_RANK,COMPOSITE_PEAK_RANK,IMPROVEMENT_CATEGORY,OVERALL_IMPROVEMENT_RANK,REGIONAL_IMPROVEMENT_RANK
2086,Jesse D Scott Elementary School,Region 1,2020,2024,17,27,10,2021,2024,10,18,8,9.0,3,1,4,2,1,3,2,2,9,9,9.0,0.5,0.572,118,209,174,215,104,132,114,Mixed Progress,234,55
2160,Betsy Rhodes Elementary School,Region 1,2020,2024,55,60,5,2020,2024,41,52,11,8.0,2,2,4,3,0,4,2,2,11,7,9.0,0.5,0.567,183,179,188,215,62,183,114,Mixed Progress,237,57
2359,Carroll M Johnston STEM Academy of Environmental Studies,Region 1,2020,2024,30,33,3,2020,2024,10,19,9,6.0,2,2,4,1,1,4,2,2,13,10,11.5,0.5,0.558,219,197,209,215,40,112,55,Mixed Progress,242,58
2225,Marion Cahlan Elementary School,Region 1,2020,2024,29,29,0,2020,2024,18,28,10,5.0,2,2,4,2,2,4,2,2,12,9,10.5,0.5,0.553,248,189,222,215,47,132,80,Mixed Progress,246,59
2142,Louis Wiener Jr Elementary School,Region 1,2020,2024,34,35,1,2020,2024,20,27,7,4.0,2,2,4,2,1,4,2,2,5,9,5.5,0.5,0.548,237,218,238,215,226,132,205,Mixed Progress,250,60
2174,Lucille S Rogers Elementary School,Region 1,2020,2024,56,52,-4,2020,2024,37,49,12,4.0,2,2,4,2,2,4,2,2,7,10,7.0,0.5,0.548,278,158,238,215,166,112,168,Mixed Progress,250,60
2161,Addeliar D Guy III Elementary School,Region 1,2020,2024,39,40,1,2020,2024,28,34,6,3.5,1,2,4,2,2,4,2,2,15,13,14.0,0.5,0.546,237,232,246,215,20,63,29,Mixed Progress,254,62
2167,Edith Garehime Elementary School,Region 1,2020,2024,39,42,3,2020,2024,32,36,4,3.5,3,1,4,3,1,4,2,2,4,3,3.0,0.5,0.546,219,254,246,215,257,259,273,Mixed Progress,254,62
2306,J Harold Brinley Middle School,Region 1,2020,2024,22,24,2,2020,2024,6,10,4,3.0,2,2,4,2,2,4,2,2,5,4,4.5,0.5,0.543,229,254,253,215,226,244,237,Mixed Progress,257,64
2342,Brian & Teri Cram Middle School,Region 1,2020,2024,32,34,2,2020,2024,21,24,3,2.5,2,2,4,2,2,4,2,2,6,4,2.5,0.5,0.541,229,265,256,215,190,244,284,Mixed Progress,260,65
2341,Justice Myron E Leavitt Middle School,Region 1,2020,2024,50,48,-2,2020,2024,22,29,7,2.5,2,2,4,3,1,4,2,2,3,4,3.5,0.5,0.541,269,218,256,215,270,244,262,Mixed Progress,260,65
2361,Edmundo Eddie Elementary Schoolcobedo Sr Middle School,Region 1,2020,2024,42,44,2,2020,2024,19,20,1,1.5,2,2,4,1,2,4,2,2,8,5,6.5,0.5,0.536,229,277,265,215,135,225,182,Mixed Progress,263,67
2252,Indian Springs Elementary School,Region 1,2021,2024,45,37,-8,2021,2024,26,35,9,0.5,0,3,3,3,0,3,1,1,-1,5,1.0,0.5,0.531,295,197,272,215,298,225,295,Mixed Progress,266,68
2114,Ute Perkins Elementary School,Region 1,2020,2024,53,46,-7,2020,2024,31,38,7,0.0,2,2,4,2,2,4,2,2,7,13,5.5,0.5,0.529,291,218,278,215,166,63,205,Mixed Progress,269,69
