SCHOOL_ID,SCHOOL_NAME,REGION,SCHOOL_YEAR,ELA_PCT,ELA_PRIOR_YEAR,ELA_YOY_CHANGE,ELA_DIRECTION,MATH_PCT,MATH_PRIOR_YEAR,MATH_YOY_CHANGE,MATH_DIRECTION,COMPOSITE_PCT,COMPOSITE_YOY_CHANGE
2249,Gordon McCaw Elementary School,Region 3,2024,83,78,5,Up,79,74,5,Up,81.0,5.0
2225,Marion Cahlan Elementary School,Region 1,2020,29,,,,18,,,,23.5,
2225,Marion Cahlan Elementary School,Region 1,2021,41,29,12,Up,27,18,9,Up,34.0,10.5
2225,Marion Cahlan Elementary School,Region 1,2022,31,41,-10,Down,26,27,-1,Down,28.5,-5.5
2225,Marion Cahlan Elementary School,Region 1,2023,35,31,4,Up,29,26,3,Up,32.0,3.5
2225,Marion Cahlan Elementary School,Region 1,2024,29,35,-6,Down,28,29,-1,Down,28.5,-3.5
2123,Walter Jacobson Elementary School,Transformation Network,2020,47,,,,34,,,,40.5,
2123,Walter Jacobson Elementary School,Transformation Network,2021,50,47,3,Up,41,34,7,Up,45.5,5.0
2123,Walter Jacobson Elementary School,Transformation Network,2022,47,50,-3,Down,44,41,3,Up,45.5,0.0
2123,Walter Jacobson Elementary School,Transformation Network,2023,42,47,-5,Down,29,44,-15,Down,35.5,-10.0
2123,Walter Jacobson Elementary School,Transformation Network,2024,39,42,-3,Down,32,29,3,Up,35.5,0.0
2135,Helen Jydstrup Elementary School,Region 2,2020,42,,,,25,,,,33.5,
2135,Helen Jydstrup Elementary School,Region 2,2021,37,42,-5,Down,28,25,3,Up,32.5,-1.0
2135,Helen Jydstrup Elementary School,Region 2,2022,38,37,1,Up,36,28,8,Up,37.0,4.5
2135,Helen Jydstrup Elementary School,Region 2,2023,38,38,0,Flat,39,36,3,Up,38.5,1.5
2135,Helen Jydstrup Elementary School,Region 2,2024,50,38,12,Up,51,39,12,Up,50.5,12.0
2295,Doris M Reed Elementary School,Region 1,2020,14,,,,6,,,,10.0,
2295,Doris M Reed Elementary School,Region 1,2021,25,14,11,Up,17,6,11,Up,21.0,11.0
2295,Doris M Reed Elementary School,Region 1,2022,27,25,2,Up,17,17,0,Flat,22.0,1.0
2295,Doris M Reed Elementary School,Region 1,2023,29,27,2,Up,26,17,9,Up,27.5,5.5
2295,Doris M Reed Elementary School,Region 1,2024,30,29,1,Up,27,26,1,Up,28.5,1.0
2306,J Harold Brinley Middle School,Region 1,2020,22,,,,6,,,,14.0,
2306,J Harold Brinley Middle School,Region 1,2021,27,22,5,Up,10,6,4,Up,18.5,4.5
2306,J Harold Brinley Middle School,Region 1,2022,24,27,-3,Down,8,10,-2,Down,16.0,-2.5
2306,J Harold Brinley Middle School,Region 1,2023,21,24,-3,Down,7,8,-1,Down,14.0,-2.0
2306,J Harold Brinley Middle School,Region 1,2024,24,21,3,Up,10,7,3,Up,17.0,3.0
2136,Martha P King Elementary School,Region 3,2020,44,,,,34,,,,39.0,
2136,Martha P King Elementary School,Region 3,2021,54,44,10,Up,44,34,10,Up,49.0,10.0
2136,Martha P King Elementary School,Region 3,2022,60,54,6,Up,54,44,10,Up,57.0,8.0
2136,Martha P King Elementary School,Region 3,2023,57,60,-3,Down,53,54,-1,Down,55.0,-2.0
2136,Martha P King Elementary School,Region 3,2024,67,57,10,Up,58,53,5,Up,62.5,7.5
2213,J E Manch Elementary School,Region 1,2020,14,,,,7,,,,10.5,
2213,J E Manch Elementary School,Region 1,2021,21,14,7,Up,12,7,5,Up,16.5,6.0
2213,J E Manch Elementary School,Region 1,2022,17,21,-4,Down,10,12,-2,Down,13.5,-3.0
