organization_code,school_name,address,city,state,zip_code
2350,Charles Arthur Hughes Middle School,550 Hafen Ln.,Mesquite,NV,89027
2352,Clifford O Findlay Middle School,333 W. Tropical Pkwy.,N. Las Vegas,NV,89031
2353,Jack & Terry Mannion Middle School,155 E. Paradise Hills Dr.,Henderson,NV,89002
2354,Anthony Saville Middle School,8101 N. Torrey Pines Dr.,Las Vegas,NV,89131
2355,Del E Webb Middle School,2200 Reunion Dr.,Henderson,NV,89052
2356,Jerome Mack Middle School,4250 E. Karen Ave.,Las Vegas,NV,89121
2357,Dr William H Bailey Middle School,2500 N. Hollywood Blvd.,Las Vegas,NV,89156
2358,Odyssey Charter Schools 6-8 Middle School,1875 N Lamont St,Las Vegas,NV,89115
2359,Carroll M Johnston STEM Academy of Environmental Studies,5855 Lawrence St,N Las Vegas,NV,89081
2360,Lois & Jerry Tarkanian Middle School,5800 W. Pyle Ave.,Las Vegas,NV,89141
2361,Edmundo Eddie Elementary Schoolcobedo Sr Middle School,9501 Echelon Point Dr.,Las Vegas,NV,89149
2362,Wilbur & Theresa Faiss Middle School,9525 W. Maule Ave.,Las Vegas,NV,89148
2363,Innovations International Charter JR/SR High School,950 E Sahara Ave,Las Vegas,NV,89104
2364,FuturEdge Academy Middle School,2341 Comstock Dr,N Las Vegas,NV,89032
2367,Rainbow Dreams Academy Secondary,950 W Lake Mead Blvd,Las Vegas,NV,89106
2368,Barry and June Gunderson Middle School,10155 Marnie St.,Las Vegas,NV,89178
2369,Jo Mackey Middle School,2726 Englestad St.,N. Las Vegas,NV,89030
2501,Hannah Marie Brown Elementary School,10 Chapata Dr.,Henderson,NV,89012
2510,,6650 W Reno Ave,Las Vegas,NV,89118
2607,Centennial High School,10200 Centennial Pkwy.,Las Vegas,NV,89149
2615,Explore Knowledge Academy Elementary School,5871 Mountain Vista St,Las Vegas,NV,89120
2616,Explore Knowledge Academy JR/SR High School,5871 Mountain Vista St,Las Vegas,NV,89120
2619,Legacy High School,150 W. Deer Springs Way,N. Las Vegas,NV,89084
2621,The Delta Academy JR/SR High School,818 W Brooks Ave,N Las Vegas,NV,89030
2625,NV Learning Academy JR/SR High School,3050 E. Flamingo Rd.,Las Vegas,NV,89121
2626,NV Learning Academy Elementary School,3050 E. Flamingo Rd.,Las Vegas,NV,89121
2716,Acceleration Academy,2020 W Craig Rd Suite 301,N Las Vegas,NV,89032
2777,Clark County Detention Center JR/SR High School,601 N Pecos Rd #70,Las Vegas,NV,89101
2911,Variety JR/SR High School,2800 Stewart Ave.,Las Vegas,NV,89101
2912,Juvenile Detention 6-12 JR/SR High School,601 N. Pecos #70,Las Vegas,NV,89101
2913,Spring Mountain JR/SR High School,2400 Angel Peak Pl.,Las Vegas,NV,89124
2916,Miley Achievement Center JR/SR High School,245 N. Pecos Rd.,Las Vegas,NV,89101
2917,Miley Achievement Center Elementary School,245 N. Pecos Rd.,Las Vegas,NV,89101
2927,Desert Willow JR/SR High School,"6171 W. Charleston Blvd., Bldg 17",Las Vegas,NV,89146
2928,South Academic Center JR/SR High School,4560 W. Harmon Ave.,Las Vegas,NV,89103
2932,Cowan Academic Center JR/SR High School,5300 E. Russell Rd.,Las Vegas,NV,89122
2933,Peterson Academic Center JR/SR High School,10250 W. Centennial Pkwy.,Las Vegas,NV,89149
2935,Variety Elementary School,2800 Stewart Ave.,Las Vegas,NV,89101
2965,Quest Program,601 N. Pecos #70,Las Vegas,NV,89101
